ID;Atleta;Sesso;Titoli;Data di nascita;Peso;Link;Foto;ID genealogico
86;Donatello Cirillo;M;-;?;?;-;2017/DonatelloCirillo.jpg;I1340
87;Giuseppe Sessa;M;-;?;?;-;-;-
88;Francesco Ceres;M;-;?;?;-;2006/f35.jpg;I805
89;Giuseppe Cetrulo;M;-;?;?;-;-;I6438
90;Gelsomino Merola di Vito;M;-;?;?;-;-;-
91;Antonio D'Elia;M;-;1991;?;-;2017/AntonioDElia.jpg;I14322
92;Toni Auriemma;M;-;?;?;-;-;I1958
93;Gaetano Rosania;M;-;?;?;-;2007/XIX32.jpg;-
94;Raffaele Colatrella;M;-;?;?;-;-;-
95;Giuseppe Viscardi;M;-;?;?;-;-;I2385
96;Giuseppe Ceres;M;-;?;?;-;-;I767
97;Dario Nisivoccia;M;-;?;?;-;2017/DarioNisivoccia.jpg;I242
98;Gerardo Grasso di Ton.;M;-;?;?;-;-;I3181
99;Pierlorenzo Pallante;M;-;?;?;-;-;I2563
100;Giovanni Paolercia;M;-;?;?;-;-;-
101;Michele Notaro;M;-;?;?;-;2006/f32.jpg;-
102;Angelo Ceres di Vinc.;M;-;?;?;-;2017/AngeloCeres.jpg;I590
103;Angelo Di Masi;M;-;?;?;-;-;-
104;Mario Cibellis;M;-;?;?;-;-;-
105;Gerardo Grasso di Raff.;M;-;?;?;-;-;-
106;Gelsomino Rosania;M;-;?;?;-;-;I10322
107;Tommaso Cibellis;M;-;?;?;-;2007/XIX47.jpg;-
108;Giuseppe Ceres di Pasq.;M;-;?;?;-;-;-
109;Armando Grasso di Pasq.;M;-;?;?;-;2007/XIX8.jpg;I8767
110;Antonio Ruglio di Ang.;M;-;?;?;-;-;-
111;Pasquale Colatrella;M;-;?;?;-;-;-
112;Valentino Di Masi;M;-;?;?;-;2005/dscn5352.jpg;-
113;Ettore Spatola;M;-;?;?;-;-;I1308
114;Francesco Ciccone;M;-;?;?;-;2006/f12.jpg;-
115;Carmelo Ruglio;M;-;?;?;-;-;-
116;Lorenzo Russomanno;M;-;?;?;-;-;-
117;Alfonso Pallante;M;-;?;?;-;2006/f47.jpg;I6540
118;Vincenzo Ficetola;M;-;?;?;-;-;-
119;Daniele Castagno;M;-;?;?;-;-;I3749
120;Gelsomina D'Alessio;F;-;?;?;-;-;-
121;Katia Corona;F;-;?;?;-;-;I2693
122;Angela Melillo;F;-;?;?;-;-;I670
123;Rocco Feniello;M;-;?;?;-;2007/XIX51.jpg;I5666
124;Luca Cibellis;M;-;?;?;-;2007/XIX6.jpg;I5773
125;Annibale Castagno;M;-;?;?;-;-;I3748
126;Maria Di Masi;F;-;?;?;-;-;I2778
127;Maria Monteverde;F;-;?;?;-;-;-
128;Raffaele Merola;M;-;?;?;-;-;I4523
129;Rocco Nesta;M;-;?;?;-;2017/RoccoNesta.jpg;I6509
130;Enrico Porreca;M;-;?;?;-;-;-
131;Alfredo Grasso;M;-;?;?;-;2005/dscn5371.jpg;I1151
132;Giuseppe Cifrodelli;M;-;?;?;-;-;I3229
133;Giovanni Cuozzo;M;-;?;?;-;-;I3321
134;Amato Merola;M;-;?;?;-;-;I1507
135;Claudio Donatiello;M;-;?;?;-;2005/dscn5337.jpg;I6494
136;Rocco Proietto;M;-;?;?;-;-;-
137;Donato Gervasio;M;-;?;?;-;-;I2981
138;Rocco Cibellis;M;-;?;?;-;-;I3468
139;Benito Sista;M;-;?;?;-;-;-
140;Salvatore Colatrella;M;-;?;?;-;2006/f31.jpg;-
141;Vincenzo Lenza;M;-;?;?;-;-;-
142;Vitale Cetrulo;M;-;?;?;-;-;I4167
143;Pietro Malanga;M;-;?;?;-;-;I1393
144;Vincenzo Iannuzzi;M;-;?;?;-;-;-
145;Gelsomino Merola di Don.;M;-;?;?;-;2007/XIX8.jpg;I11029
146;Giovanni Cifrodelli;M;-;?;?;-;-;I5198
147;Prezioso Galdi;M;-;?;?;-;2007/XIX50.jpg;-
148;Gianfranco Di Vincenzo;M;-;?;?;-;-;I3770
149;Giuseppe Merola;M;-;?;?;-;-;I6188
150;Salvatore Merola;M;-;?;?;-;2007/XIX10.jpg;I4923
151;Luigi Guarino;M;-;?;?;-;-;I10389
152;Marco Melillo;M;-;?;?;-;-;I2292
